pH_before,TDS_before,Turbidity_before,Temperature_before,Pressure_before,pH_after,TDS_after,Turbidity_after,Temperature_after,Efficiency,TDS_Reduction,Turbidity_Reduction,pH_Change,Water_Status,Membrane_Status
8.32,4795,7.62,30.5,4.79,6.99,705,0.94,31.3,85.3,4090,6.68,-1.33,Acceptable,Healthy
7.51,658,8.78,25.9,5.93,6.86,254,1.39,26.4,61.4,404,7.39,-0.65,Acceptable,Needs Cleaning
8.62,779,46.84,35.5,1.6,7.42,286,13.78,36.4,63.29,493,33.06,-1.2,Poor,Needs Cleaning
6.74,2444,6.79,33.3,1.37,7.11,1122,1.75,34,54.09,1322,5.04,0.37,Poor,Replace
6.64,2606,14.51,31.6,4.87,6.95,153,2.23,31.5,94.13,2453,12.28,0.31,Acceptable,Healthy
7.94,4245,21.07,40,5.24,6.56,1774,2.39,41,58.21,2471,18.68,-1.38,Poor,Replace
8.38,2363,6.8,29,4.89,7.35,1544,1.83,29,34.66,819,4.97,-1.03,Poor,Replace
6.52,3002,34.98,39.9,4.83,7.14,1930,9.32,40.5,35.71,1072,25.66,0.62,Poor,Replace
8.75,664,24.67,30.1,1.83,7.14,225,7.32,30,66.11,439,17.35,-1.61,Poor,Needs Cleaning
7.81,3185,20.02,30.6,4.83,6.62,182,2.39,31.1,94.29,3003,17.63,-1.19,Acceptable,Healthy
6.75,2919,47.07,28.2,5.86,7.45,211,12.82,28.4,92.77,2708,34.25,0.7,Poor,Healthy
7.15,2277,22.3,24.2,5.27,7.39,670,5.26,23.9,70.58,1607,17.04,0.24,Poor,Needs Cleaning
7.9,2708,33.46,25.3,5.9,7.41,1713,4.2,25,36.74,995,29.26,-0.49,Poor,Replace
8.75,585,31.06,31.6,3.17,7.05,77,6.82,31.7,86.84,508,24.24,-1.7,Poor,Healthy
8.23,1293,1.83,20.9,1.12,7.11,440,0.43,20.7,65.97,853,1.4,-1.12,Excellent,Needs Cleaning
8.79,2466,1.04,39.6,2.61,6.51,560,0.28,40.3,77.29,1906,0.76,-2.28,Acceptable,Needs Cleaning
8.04,4662,40.08,26.2,1.15,6.69,561,10.61,25.6,87.97,4101,29.47,-1.35,Poor,Healthy
8.4,3026,5,35.4,5.89,7.47,1162,1.07,35.6,61.6,1864,3.93,-0.93,Poor,Needs Cleaning
7.33,4959,16.77,19.2,4.9,6.57,639,3.67,18.7,87.11,4320,13.1,-0.76,Poor,Healthy
6.57,2551,34.39,37.1,5.5,7.11,1692,4.64,37.4,33.67,859,29.75,0.54,Poor,Replace
8.37,564,38.87,18.3,1.41,7.33,366,2.35,18.9,35.11,198,36.52,-1.04,Acceptable,Replace
6.66,2800,22.59,30.1,5.62,6.7,1304,1.26,30,53.43,1496,21.33,0.04,Poor,Replace
8.08,1552,13.9,32.2,4,7.35,874,1.25,31.5,43.69,678,12.65,-0.73,Acceptable,Replace
6.88,2957,32.38,32.3,2.61,7.47,321,3.99,32.9,89.14,2636,28.39,0.59,Poor,Healthy
7.22,1029,8.05,25.4,2.72,6.84,83,2.14,25.9,91.93,946,5.91,-0.38,Acceptable,Healthy
7.29,3075,45.08,23.8,2.9,6.76,1743,3.67,24,43.32,1332,41.41,-0.53,Poor,Replace
6.79,1164,29.27,20.3,1.73,6.74,732,7.01,20.3,37.11,432,22.26,-0.05,Poor,Replace
8.6,1543,7.41,23.3,5.46,6.84,120,1.63,22.8,92.22,1423,5.78,-1.76,Acceptable,Healthy
